image_name,group,candidate_count,top_status,top_confidence,top_amount_score,top_text,top_bbox,top_reason,top_source,top_flags,top_ocr_confidence,top_has_local_reason,top_readable_amount,review_priority,preview_path,needs_review,top3_candidates_json
f_21.jpg,f,4,篡改,0.9613,2.0000,收预金额17.000.00尤(人[币),"124,363,559,394",全局UI布局异常；局部字体风格异常,line,money_regex|target_keyword|prominent,0.1140,yes,no,28.2067,results/amount_batch_ptest/review_previews/f_21.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9613"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""收预金额17.000.00尤(人[币)"", ""bbox"": ""124,363,559,394"", ""amount_score"": ""2.0000"", ""ocr_confidence"": ""0.1140"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|prominent"", ""review_priority"": ""28.2067"", ""has_local_reason"": ""yes"", ""readable_amount"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9613"", ""reason"": ""全局UI布局异常"", ""text"": ""刖20251111.320:13"", ""bbox"": ""174,978,492,1009"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.4752"", ""source"": ""line"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.0567"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9613"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""17.000.00尤(人[币)"", ""bbox"": ""278,363,559,394"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.2239"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""26.7567"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
d_126.jpg,d,4,篡改,0.9890,1.5500,6.29@0e,"15,5,134,30",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常,token,money_regex|compact_digits|prominent,0.1606,yes,no,27.8951,results/amount_batch_ptest/review_previews/d_126.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9890"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常"", ""text"": ""6.29@0e"", ""bbox"": ""15,5,134,30"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.1606"", ""source"": ""token"", ""flags"": ""money_regex|compact_digits|prominent"", ""review_priority"": ""27.8951"", ""has_local_reason"": ""yes"", ""readable_amount"": ""no"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9890"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹；局部字体风格异常"", ""text"": ""6.29@0e('谷syll175"", ""bbox"": ""15,5,467,30"", ""amount_score"": ""1.3500"", ""ocr_confidence"": ""0.1350"", ""source"": ""line"", ""flags"": ""money_regex|prominent"", ""review_priority"": ""27.6951"", ""has_local_reason"": ""yes"", ""readable_amount"": ""no""}, {""status"": ""篡改"", ""confidence"": ""0.9890"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""4000000元"", ""bbox"": ""344,407,477,435"", ""amount_score"": ""0.5500"", ""ocr_confidence"": ""0.4997"", ""source"": ""token"", ""flags"": ""currency_hint|compact_digits|prominent"", ""review_priority"": ""26.8951"", ""has_local_reason"": ""yes"", ""readable_amount"": ""no""}]"
g_13.jpg,g,4,篡改,0.9927,2.4000,"转账金额1,365.00元","133,1161,1066,1223",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9906,yes,yes,27.7636,results/amount_batch_ptest/review_previews/g_13.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9927"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额1,365.00元"", ""bbox"": ""133,1161,1066,1223"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9906"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.7636"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9927"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""1,365.00元"", ""bbox"": ""837,1166,1066,1218"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9986"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.1136"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9927"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""最低0.99元起购买36元微信立减金"", ""bbox"": ""167,2337,696,2386"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.8295"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|prominent"", ""review_priority"": ""26.9136"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
g_14.jpg,g,4,篡改,0.9927,2.4000,"转账金额1,365.00元","133,1161,1066,1223",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9906,yes,yes,27.7636,results/amount_batch_ptest/review_previews/g_14.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9927"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额1,365.00元"", ""bbox"": ""133,1161,1066,1223"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9906"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.7636"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9927"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""1,365.00元"", ""bbox"": ""837,1166,1066,1218"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9986"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.1136"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9927"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""最低0.99元起购买36元微信立减金"", ""bbox"": ""167,2337,696,2386"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.8295"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|prominent"", ""review_priority"": ""26.9136"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
c_156.jpg,c,4,篡改,0.9852,2.4000,交易金额20500.00元,"107,822,928,922",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9775,yes,yes,27.7262,results/amount_batch_ptest/review_previews/c_156.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9852"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""交易金额20500.00元"", ""bbox"": ""107,822,928,922"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9775"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.7262"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9852"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""20500.00元"", ""bbox"": ""498,828,928,919"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9729"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.0762"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9852"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""17458.19元"", ""bbox"": ""500,1211,926,1301"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.6642"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.0762"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
c_64.jpg,c,4,篡改,0.9818,2.4000,交易金额11000.00元,"39,603,578,667",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9931,yes,yes,27.7088,results/amount_batch_ptest/review_previews/c_64.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9818"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""交易金额11000.00元"", ""bbox"": ""39,603,578,667"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9931"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.7088"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9818"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""11000.00元"", ""bbox"": ""292,603,578,665"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9989"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.0588"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9818"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""49699.67元"", ""bbox"": ""291,860,578,920"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.8615"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.0588"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
g_11.jpg,g,4,篡改,0.9727,2.4000,"转账金额1,194.00元","133,1161,1066,1223",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9334,yes,yes,27.6635,results/amount_batch_ptest/review_previews/g_11.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9727"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额1,194.00元"", ""bbox"": ""133,1161,1066,1223"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9334"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.6635"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9727"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""1,194.00元"", ""bbox"": ""837,1166,1066,1218"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.8842"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.0135"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9727"", ""reason"": ""全局UI布局异常；局部字体风格异常"", ""text"": ""最低0.99元起购买36元微信立减金"", ""bbox"": ""167,2337,696,2386"", ""amount_score"": ""1.5500"", ""ocr_confidence"": ""0.8295"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|prominent"", ""review_priority"": ""26.8135"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
d_65.jpg,d,4,篡改,0.9705,2.4000,转账金额丫11922.00元,"80,666,694,704",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.4701,yes,yes,27.6526,results/amount_batch_ptest/review_previews/d_65.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9705"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""转账金额丫11922.00元"", ""bbox"": ""80,666,694,704"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.4701"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.6526"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9705"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""丫11922.00元"", ""bbox"": ""520,670,694,701"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.5383"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.0026"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9705"", ""reason"": ""全局UI布局异常"", ""text"": ""17:550K1Ol"", ""bbox"": ""47,21,625,50"", ""amount_score"": ""0.8500"", ""ocr_confidence"": ""0.4770"", ""source"": ""line"", ""flags"": ""money_regex|compact_digits|prominent|colon_time_penalty"", ""review_priority"": ""25.4026"", ""has_local_reason"": ""no"", ""readable_amount"": ""yes""}]"
c_173.jpg,c,4,篡改,0.9658,2.4000,交易金额2096.00元,"107,961,883,1062",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9859,yes,yes,27.6291,results/amount_batch_ptest/review_previews/c_173.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9658"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""交易金额2096.00元"", ""bbox"": ""107,961,883,1062"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9859"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.6291"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9658"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""28347.32元"", ""bbox"": ""498,1351,928,1439"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9987"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.9791"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9658"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""2096.00元"", ""bbox"": ""498,968,883,1057"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9969"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.9791"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
c_162.jpg,c,4,篡改,0.9635,2.4000,交易金额5721.00元,"107,735,883,834",全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹,line,money_regex|target_keyword|currency_hint|compact_digits|prominent,0.9854,yes,yes,27.6176,results/amount_batch_ptest/review_previews/c_162.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.9635"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""交易金额5721.00元"", ""bbox"": ""107,735,883,834"", ""amount_score"": ""2.4000"", ""ocr_confidence"": ""0.9854"", ""source"": ""line"", ""flags"": ""money_regex|target_keyword|currency_hint|compact_digits|prominent"", ""review_priority"": ""27.6176"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes"", ""candidate_count"": 4}, {""status"": ""篡改"", ""confidence"": ""0.9635"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""43978.67元"", ""bbox"": ""498,1125,926,1214"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9990"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.9676"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}, {""status"": ""篡改"", ""confidence"": ""0.9635"", ""reason"": ""全局UI布局异常；存在局部边缘拼接/像素涂抹痕迹"", ""text"": ""5721.00元"", ""bbox"": ""498,744,883,831"", ""amount_score"": ""1.7500"", ""ocr_confidence"": ""0.9892"", ""source"": ""token"", ""flags"": ""money_regex|currency_hint|compact_digits|prominent"", ""review_priority"": ""26.9676"", ""has_local_reason"": ""yes"", ""readable_amount"": ""yes""}]"
